      弹性模量E1            MAT8         1              3.555E+7               1       46215000.       24885000.            1233              17
      弹性模量E2            MAT8         1              1.065E+8               0     1.3845E+008       74550000.            1233              25
     剪切模量G12            MAT8         1               5.21E+6               0        6773000.        3647000.            1233              41
     剪切模量G1Z            MAT8         1               5.21E+6               0        6773000.        3647000.            1233              49
     剪切模量G2Z            MAT8         1               5.21E+6               0        6773000.        3647000.            1233              57
      弹性模量E1            MAT8         2              3.055E+7               1       39715000.       21385000.            1236              17
      弹性模量E2            MAT8         2                8.4E+7               1  1.0919999E+008       58800000.            1236              25
     剪切模量G12            MAT8         2               5.21E+6               0        6773000.        3647000.            1236              41
     剪切模量G1Z            MAT8         2               5.21E+6               0        6773000.        3647000.            1236              49
     剪切模量G2Z            MAT8         2               5.21E+6               0        6773000.        3647000.            1236              57
